                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.2479,                 1.5026,                 1.2516,                0.55427,                0.55001,                 0.6104,                0.41501,                 1.3943,                 1.8232,                 1.5844,               0.007393,               0.007393,               0.007393
                     81,                 1.2699,                 1.5225,                 1.2816,                0.52445,                0.62049,                0.60412,                0.41673,                 1.3745,                 1.8064,                  1.573,                0.00736,                0.00736,                0.00736
                     82,                 1.2368,                  1.446,                 1.3131,                0.58331,                0.57739,                0.61339,                0.40806,                 1.4298,                 1.7752,                 1.5899,               0.007327,               0.007327,               0.007327
                     83,                 1.2384,                 1.4177,                 1.2478,                0.57908,                0.57118,                 0.6163,                0.42243,                 1.3894,                 1.8321,                 1.5719,               0.007294,               0.007294,               0.007294
                     84,                 1.2584,                 1.4393,                 1.3176,                 0.5399,                0.59953,                0.61255,                0.41861,                 1.4096,                 1.8307,                 1.5781,               0.007261,               0.007261,               0.007261
                     85,                 1.2339,                 1.4829,                 1.2855,                0.65732,                0.53721,                 0.6136,                0.42077,                 1.3734,                 1.9337,                 1.5673,               0.007228,               0.007228,               0.007228
                     86,                 1.2445,                 1.4479,                 1.2749,                0.68191,                0.55897,                0.62713,                0.41651,                 1.4067,                 1.7272,                  1.584,               0.007195,               0.007195,               0.007195
                     87,                 1.2387,                 1.4275,                 1.2724,                0.65027,                0.54074,                0.62076,                 0.4306,                 1.3279,                 1.7705,                 1.5225,               0.007162,               0.007162,               0.007162
                     88,                 1.2437,                 1.3973,                 1.2589,                0.53723,                0.67922,                   0.65,                0.45077,                 1.3414,                 1.6982,                  1.525,               0.007129,               0.007129,               0.007129
                     89,                 1.2351,                 1.3906,                 1.2687,                0.61494,                0.62396,                0.65998,                0.45168,                 1.3314,                 1.7132,                 1.5219,               0.007096,               0.007096,               0.007096
                     90,                 1.2629,                  1.435,                 1.3227,                0.57483,                0.65298,                0.65735,                0.43887,                 1.3682,                 1.6682,                 1.5372,               0.007063,               0.007063,               0.007063
                     91,                 1.2402,                 1.3516,                 1.2694,                0.61009,                0.64685,                0.67362,                0.46872,                 1.3152,                 1.6614,                  1.492,                0.00703,                0.00703,                0.00703
                     92,                 1.2118,                 1.3084,                 1.2708,                0.62968,                0.63543,                0.67695,                0.47674,                 1.3063,                 1.6674,                 1.4871,               0.006997,               0.006997,               0.006997
                     93,                 1.2455,                 1.4007,                 1.2857,                0.57843,                0.60488,                0.64457,                 0.4461,                 1.3826,                 1.7301,                 1.5655,               0.006964,               0.006964,               0.006964
                     94,                 1.2258,                 1.3802,                 1.3076,                0.71278,                 0.5762,                0.66458,                0.45844,                 1.3366,                  1.667,                 1.5134,               0.006931,               0.006931,               0.006931
                     95,                 1.2083,                 1.3794,                 1.2366,                0.67639,                0.61355,                 0.6699,                0.46361,                 1.3638,                 1.6886,                 1.5368,               0.006898,               0.006898,               0.006898
                     96,                 1.2436,                 1.3363,                 1.2678,                 0.6747,                0.61553,                0.66472,                 0.4596,                 1.3569,                 1.6671,                 1.5229,               0.006865,               0.006865,               0.006865
                     97,                 1.2152,                 1.3269,                 1.2523,                0.62652,                0.65458,                 0.6618,                0.44164,                 1.3869,                 1.6659,                  1.555,               0.006832,               0.006832,               0.006832
                     98,                 1.2321,                 1.3708,                 1.2854,                0.65418,                0.63052,                0.68974,                0.47551,                  1.366,                 1.6523,                 1.5439,               0.006799,               0.006799,               0.006799
                     99,                 1.2118,                 1.3244,                 1.2965,                0.68889,                0.56063,                0.66302,                0.45181,                 1.3596,                 1.8395,                  1.537,               0.006766,               0.006766,               0.006766
                    100,                 1.2074,                 1.3523,                  1.239,                0.72443,                0.55065,                0.66577,                0.45548,                 1.3584,                 1.7503,                 1.5223,               0.006733,               0.006733,               0.006733
                    101,                 1.1983,                 1.2809,                 1.2462,                0.62373,                0.60181,                0.67852,                0.46574,                 1.3148,                 1.7415,                 1.4904,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.2094,                 1.3132,                 1.2413,                0.71012,                0.60263,                0.68381,                0.47139,                 1.3384,                  1.634,                  1.504,               0.006667,               0.006667,               0.006667
                    103,                 1.2169,                 1.3039,                 1.2652,                0.73878,                0.57506,                0.68251,                0.46886,                  1.346,                 1.6296,                 1.5107,               0.006634,               0.006634,               0.006634
                    104,                 1.1659,                 1.2044,                 1.2503,                0.63007,                0.68749,                0.70174,                0.47999,                 1.3438,                 1.5516,                 1.5216,               0.006601,               0.006601,               0.006601
                    105,                 1.1773,                 1.2372,                 1.2308,                0.62899,                0.65674,                0.69739,                0.48338,                 1.3121,                 1.5576,                 1.4932,               0.006568,               0.006568,               0.006568
                    106,                  1.186,                   1.29,                 1.2465,                0.76582,                0.60218,                0.70555,                0.49126,                 1.3069,                 1.5399,                 1.4856,               0.006535,               0.006535,               0.006535
                    107,                 1.1934,                   1.27,                 1.2444,                0.72276,                  0.638,                0.72263,                0.49229,                 1.3287,                 1.5374,                 1.4982,               0.006502,               0.006502,               0.006502
                    108,                 1.1796,                 1.2675,                 1.2784,                0.63701,                 0.6703,                0.70772,                0.47988,                 1.3628,                  1.602,                 1.5486,               0.006469,               0.006469,               0.006469
                    109,                  1.235,                 1.2769,                 1.2445,                0.69922,                0.65749,                 0.7177,                0.49132,                 1.3381,                 1.5468,                 1.5024,               0.006436,               0.006436,               0.006436
                    110,                 1.1955,                 1.2436,                 1.2397,                0.62891,                0.72468,                0.74035,                0.51568,                 1.3115,                 1.5263,                 1.4845,               0.006403,               0.006403,               0.006403
                    111,                 1.1831,                  1.251,                 1.2768,                0.68938,                0.72953,                 0.7413,                 0.5096,                  1.331,                 1.4982,                 1.4976,                0.00637,                0.00637,                0.00637
                    112,                 1.1862,                  1.259,                 1.2501,                0.70259,                0.69573,                0.74845,                0.52162,                 1.3097,                  1.534,                 1.4746,               0.006337,               0.006337,               0.006337
                    113,                 1.2201,                 1.2583,                 1.2671,                0.70779,                0.69657,                 0.7325,                0.50464,                 1.3438,                  1.594,                 1.5052,               0.006304,               0.006304,               0.006304
                    114,                 1.2037,                 1.2086,                 1.2604,                0.69172,                 0.6709,                0.72629,                0.49338,                 1.3552,                 1.5109,                 1.5314,               0.006271,               0.006271,               0.006271
                    115,                 1.1839,                 1.1991,                 1.2409,                0.72061,                0.64004,                0.73333,                0.51037,                 1.2792,                 1.5091,                 1.4574,               0.006238,               0.006238,               0.006238
                    116,                 1.1687,                 1.2035,                 1.2354,                0.63161,                0.67152,                0.71418,                0.48878,                 1.3315,                 1.5926,                 1.5081,               0.006205,               0.006205,               0.006205
                    117,                 1.1848,                 1.2539,                 1.2305,                0.67326,                0.69481,                0.71249,                0.47239,                 1.3768,                 1.5651,                 1.5556,               0.006172,               0.006172,               0.006172
                    118,                 1.1693,                 1.1862,                 1.2093,                0.65072,                0.71166,                0.72524,                0.47598,                 1.4428,                 1.5352,                 1.6254,               0.006139,               0.006139,               0.006139
                    119,                 1.1515,                 1.2068,                 1.2138,                0.69206,                0.68103,                0.74008,                 0.5009,                 1.3486,                 1.5959,                 1.5138,               0.006106,               0.006106,               0.006106
                    120,                 1.1728,                 1.1833,                 1.2037,                0.78057,                0.66121,                0.75309,                0.49191,                 1.4554,                 1.5071,                 1.6134,               0.006073,               0.006073,               0.006073
                    121,                 1.1885,                 1.2032,                 1.2422,                0.72439,                0.70873,                0.73969,                0.50152,                  1.346,                 1.5343,                 1.5335,                0.00604,                0.00604,                0.00604
                    122,                 1.1656,                 1.1602,                 1.2408,                0.74553,                0.69673,                0.75331,                0.52573,                 1.3181,                 1.5795,                 1.4911,               0.006007,               0.006007,               0.006007
                    123,                 1.1497,                 1.1398,                 1.2376,                0.70546,                0.68462,                0.73064,                0.50345,                 1.3112,                 1.5673,                  1.492,               0.005974,               0.005974,               0.005974
                    124,                 1.1595,                 1.1665,                  1.226,                0.69931,                0.71671,                0.74837,                0.52593,                 1.2973,                 1.4783,                  1.481,               0.005941,               0.005941,               0.005941
                    125,                 1.1586,                 1.1528,                 1.2183,                0.73671,                0.70904,                0.75439,                0.52442,                 1.3086,                 1.5015,                 1.4797,               0.005908,               0.005908,               0.005908
                    126,                 1.1605,                  1.125,                 1.2159,                0.73098,                0.67556,                0.73335,                0.51073,                 1.3183,                 1.5888,                 1.5012,               0.005875,               0.005875,               0.005875
                    127,                 1.1764,                 1.1732,                 1.2256,                0.75199,                0.68067,                0.74074,                0.51313,                 1.3145,                 1.4923,                 1.4951,               0.005842,               0.005842,               0.005842
                    128,                 1.1368,                 1.1531,                 1.2284,                 0.7544,                0.64625,                0.72521,                0.50211,                 1.3432,                 1.4612,                 1.5242,               0.005809,               0.005809,               0.005809
                    129,                 1.1384,                 1.1457,                 1.2124,                0.70417,                0.71603,                0.74366,                0.51973,                 1.2899,                 1.4757,                  1.458,               0.005776,               0.005776,               0.005776
                    130,                 1.1312,                 1.1204,                 1.1992,                 0.7543,                0.66825,                0.74257,                0.51097,                 1.3091,                 1.4271,                 1.5083,               0.005743,               0.005743,               0.005743
                    131,                 1.1631,                 1.1435,                 1.2194,                0.78875,                 0.6805,                0.75053,                0.52168,                 1.2731,                 1.4518,                 1.4559,                0.00571,                0.00571,                0.00571
                    132,                 1.1482,                 1.1127,                 1.2078,                0.81459,                0.66196,                  0.751,                0.52818,                 1.2529,                 1.4214,                 1.4418,               0.005677,               0.005677,               0.005677
                    133,                 1.1754,                 1.1658,                 1.2068,                0.74724,                0.70435,                0.73922,                 0.4996,                 1.3333,                 1.4687,                 1.5261,               0.005644,               0.005644,               0.005644
                    134,                 1.1637,                 1.1518,                 1.2282,                0.79147,                0.66781,                0.75558,                0.51975,                 1.3334,                 1.4045,                 1.5129,               0.005611,               0.005611,               0.005611
                    135,                 1.1293,                 1.1114,                 1.2263,                0.74638,                0.67419,                 0.7555,                0.52098,                 1.3236,                  1.511,                 1.4749,               0.005578,               0.005578,               0.005578
                    136,                 1.1546,                 1.1294,                 1.2219,                0.76544,                0.68473,                0.76348,                0.52131,                 1.3252,                  1.495,                 1.4772,               0.005545,               0.005545,               0.005545
                    137,                  1.149,                 1.1145,                 1.1856,                0.70487,                0.70674,                0.75996,                0.53213,                 1.2978,                 1.4609,                 1.4691,               0.005512,               0.005512,               0.005512
                    138,                 1.1526,                 1.0822,                 1.2061,                 0.6701,                0.73091,                0.75736,                0.52242,                 1.3372,                  1.447,                 1.5092,               0.005479,               0.005479,               0.005479
                    139,                 1.1521,                 1.0881,                 1.2035,                0.74113,                0.71252,                0.75962,                0.51795,                 1.3597,                 1.4777,                  1.542,               0.005446,               0.005446,               0.005446
                    140,                 1.1058,                 1.0957,                 1.2084,                0.71318,                0.68833,                0.74658,                0.51871,                 1.3415,                 1.5879,                 1.5237,               0.005413,               0.005413,               0.005413
                    141,                 1.1195,                 1.0766,                 1.1933,                0.73465,                0.67498,                0.75846,                0.53629,                 1.2904,                 1.4344,                 1.4725,                0.00538,                0.00538,                0.00538
                    142,                 1.1015,                 1.0721,                 1.1984,                0.73713,                0.70413,                0.76197,                0.53117,                 1.3193,                 1.4002,                 1.4903,               0.005347,               0.005347,               0.005347
                    143,                  1.115,                 1.0808,                 1.2158,                0.66023,                0.68394,                0.72748,                0.51271,                 1.2952,                 1.5164,                 1.4759,               0.005314,               0.005314,               0.005314
                    144,                  1.092,                 1.0333,                 1.1913,                0.79347,                0.69426,                0.76161,                0.53159,                 1.3058,                 1.4009,                 1.4777,               0.005281,               0.005281,               0.005281
                    145,                  1.133,                 1.0978,                 1.2054,                0.74642,                0.72251,                0.76564,                0.52617,                 1.3044,                 1.3748,                 1.4732,               0.005248,               0.005248,               0.005248
                    146,                 1.1414,                 1.1097,                 1.2383,                0.72701,                0.73411,                0.75777,                0.52853,                  1.309,                 1.3603,                 1.4828,               0.005215,               0.005215,               0.005215
                    147,                 1.1492,                  1.096,                 1.2175,                0.70429,                0.76485,                0.76803,                0.52621,                  1.304,                  1.382,                 1.4853,               0.005182,               0.005182,               0.005182
                    148,                 1.0972,                 1.0837,                 1.2023,                0.69599,                0.75393,                0.76401,                 0.5161,                 1.3436,                 1.3828,                 1.5301,               0.005149,               0.005149,               0.005149
                    149,                 1.1339,                 1.1095,                 1.2215,                 0.7612,                0.72369,                0.77632,                0.53169,                 1.2937,                 1.3899,                 1.4713,               0.005116,               0.005116,               0.005116
                    150,                 1.1128,                 1.0517,                 1.2075,                 0.7866,                0.68967,                0.77564,                0.53041,                 1.3405,                 1.3744,                 1.5194,               0.005083,               0.005083,               0.005083
                    151,                 1.0875,                 1.0497,                 1.1784,                0.82446,                0.68802,                0.77868,                0.53443,                 1.3414,                 1.3636,                 1.5141,                0.00505,                0.00505,                0.00505
