                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 1.2719,                0.69969,                  1.245,                0.81779,                0.68494,                0.76392,                0.40914,                  1.428,                0.76456,                 1.2859,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.2996,                0.72214,                 1.2413,                0.82968,                0.74343,                0.80043,                0.45351,                 1.3047,                0.72637,                 1.2256,               0.004852,               0.004852,               0.004852
                    106,                 1.2253,                0.68685,                 1.2002,                0.86391,                0.75208,                0.82455,                0.45719,                  1.368,                0.70007,                 1.2641,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.2684,                0.70889,                 1.2178,                0.83869,                0.76305,                0.82514,                0.45711,                 1.3192,                 0.7147,                 1.2449,               0.004753,               0.004753,               0.004753
                    108,                 1.2717,                0.69292,                 1.2248,                0.85617,                0.77698,                 0.8389,                  0.478,                 1.2583,                0.68312,                 1.2209,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.2371,                0.68617,                 1.2247,                0.86513,                0.71687,                0.81276,                 0.4561,                 1.2731,                0.69985,                 1.2307,               0.004654,               0.004654,               0.004654
                    110,                 1.2075,                0.67001,                 1.2068,                0.86708,                0.76707,                  0.828,                0.47101,                 1.2657,                0.68669,                 1.2238,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.2347,                0.66446,                 1.2009,                0.87594,                  0.751,                 0.8188,                0.45399,                 1.3225,                0.69652,                  1.249,               0.004555,               0.004555,               0.004555
                    112,                 1.2328,                0.66267,                 1.2233,                0.87369,                 0.7639,                0.82977,                0.47093,                  1.276,                0.69862,                 1.2091,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.2699,                0.68885,                 1.2182,                0.85987,                0.72892,                0.81088,                0.44937,                  1.303,                0.69488,                 1.2269,               0.004456,               0.004456,               0.004456
                    114,                 1.2251,                0.68765,                 1.1923,                0.85007,                0.70586,                0.78849,                 0.4441,                 1.3092,                0.69914,                   1.24,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.2391,                0.66737,                 1.2042,                0.90123,                0.75502,                0.82902,                0.46774,                 1.2595,                0.69389,                 1.2153,               0.004357,               0.004357,               0.004357
                    116,                 1.2024,                0.65592,                 1.1952,                0.87939,                0.75301,                0.83011,                0.46878,                 1.2658,                 0.6738,                 1.2096,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.2236,                0.65309,                 1.2197,                0.84734,                0.68273,                0.79064,                0.45255,                 1.2855,                 0.7052,                 1.2087,               0.004258,               0.004258,               0.004258
                    118,                 1.1819,                0.65529,                  1.213,                0.88733,                0.75906,                0.85685,                0.48204,                 1.2884,                0.66751,                 1.2334,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.2277,                0.66627,                 1.2187,                0.87889,                0.73695,                0.82769,                0.46921,                 1.2644,                0.67733,                 1.2113,               0.004159,               0.004159,               0.004159
                    120,                  1.201,                0.65329,                 1.1928,                0.87748,                0.69478,                0.78703,                 0.4403,                 1.3422,                0.69864,                  1.237,              0.0041095,              0.0041095,              0.0041095
                    121,                  1.156,                0.63242,                 1.1822,                 0.8705,                 0.7019,                0.80347,                0.46314,                 1.2757,                0.66181,                 1.2145,                0.00406,                0.00406,                0.00406
                    122,                 1.1349,                0.62141,                 1.1705,                0.84786,                0.71617,                0.80199,                0.45755,                 1.2799,                 0.6803,                 1.2068,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.1865,                0.64335,                 1.1888,                0.83384,                0.68876,                0.76198,                0.42852,                 1.3839,                 0.6912,                 1.2407,               0.003961,               0.003961,               0.003961
                    124,                 1.1612,                0.63175,                 1.1866,                0.85676,                0.78715,                0.84391,                0.47609,                 1.2508,                0.66954,                 1.2073,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.1795,                0.64294,                 1.1792,                0.88577,                0.78514,                0.85115,                0.49002,                 1.2069,                0.64759,                 1.1887,               0.003862,               0.003862,               0.003862
                    126,                 1.1548,                0.62208,                 1.1804,                0.87848,                0.74033,                0.81581,                 0.4726,                 1.2195,                0.65333,                 1.1836,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.1867,                0.62928,                 1.1838,                0.83926,                0.77108,                0.82723,                0.48355,                  1.236,                0.65906,                 1.1967,               0.003763,               0.003763,               0.003763
                    128,                 1.1351,                0.61237,                 1.1682,                0.84242,                0.72691,                 0.7999,                0.46032,                 1.2385,                0.66325,                  1.206,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.1587,                0.64051,                 1.1772,                0.88872,                 0.7377,                0.82783,                0.47822,                 1.2299,                0.65428,                 1.1885,               0.003664,               0.003664,               0.003664
                    130,                 1.2055,                0.64708,                 1.1858,                0.88912,                0.70884,                0.79871,                0.45899,                 1.3086,                0.67026,                 1.2146,              0.0036145,              0.0036145,              0.0036145
                    131,                  1.152,                0.62643,                  1.167,                0.87746,                0.73092,                0.81815,                0.47939,                 1.2408,                0.65077,                 1.1909,               0.003565,               0.003565,               0.003565
                    132,                 1.1178,                0.62157,                 1.1693,                0.85545,                0.74865,                0.82592,                0.47752,                  1.245,                0.65678,                 1.1986,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.1422,                0.62432,                 1.1814,                0.85959,                0.72691,                 0.7999,                0.45551,                  1.259,                0.67157,                 1.2028,               0.003466,               0.003466,               0.003466
                    134,                 1.1714,                0.63954,                 1.1759,                0.84397,                0.67871,                0.76246,                0.44407,                  1.297,                0.67953,                 1.2043,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.1428,                0.62537,                 1.1557,                0.88499,                0.74096,                0.81589,                 0.4764,                 1.2331,                0.65453,                 1.1769,               0.003367,               0.003367,               0.003367
                    136,                 1.1438,                 0.6158,                 1.1454,                0.89348,                0.75795,                0.84639,                0.49332,                 1.1882,                 0.6402,                  1.171,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.1643,                0.63859,                 1.1647,                0.88488,                0.77309,                0.83917,                0.48469,                 1.2145,                0.64128,                 1.1839,               0.003268,               0.003268,               0.003268
                    138,                 1.1268,                0.61348,                 1.1397,                0.86381,                  0.751,                0.82456,                 0.4866,                 1.1908,                0.62795,                 1.1675,              0.0032185,              0.0032185,              0.0032185
                    139,                  1.148,                0.62124,                  1.143,                0.87428,                0.72691,                0.80843,                0.46983,                 1.2424,                0.65658,                 1.1953,               0.003169,               0.003169,               0.003169
                    140,                 1.1317,                0.60754,                 1.1514,                 0.8538,                0.72705,                0.80181,                 0.4492,                 1.3439,                0.69381,                 1.2532,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.0777,                0.57601,                 1.1252,                 0.8751,                 0.7751,                0.84091,                0.48105,                 1.2185,                0.63777,                 1.1711,                0.00307,                0.00307,                0.00307
                    142,                 1.1219,                0.60911,                 1.1675,                 0.8917,                0.75703,                 0.8404,                0.49096,                 1.1865,                0.63372,                  1.163,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.0852,                0.59056,                 1.1455,                 0.8521,                0.76357,                0.82422,                0.48055,                    1.2,                0.63983,                 1.1694,               0.002971,               0.002971,               0.002971
                    144,                 1.1313,                0.62155,                 1.1405,                0.86406,                0.77857,                0.83645,                0.49412,                 1.1924,                0.63089,                 1.1731,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.1593,                 0.6113,                 1.1394,                0.88138,                0.77582,                0.84924,                0.49434,                 1.2065,                0.63278,                 1.1722,               0.002872,               0.002872,               0.002872
                    146,                 1.1042,                0.60109,                 1.1394,                0.89573,                0.76908,                0.85155,                0.49579,                 1.1949,                0.63495,                 1.1633,              0.0028225,              0.0028225,              0.0028225
                    147,                  1.091,                0.59047,                 1.1155,                0.87782,                0.75021,                0.83145,                0.49501,                 1.1833,                0.61573,                 1.1589,               0.002773,               0.002773,               0.002773
                    148,                 1.0483,                0.56963,                 1.1074,                0.89046,                0.74699,                0.83912,                0.49517,                 1.1835,                0.61229,                 1.1544,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.1035,                0.59326,                 1.1461,                0.86926,                0.73293,                0.81603,                0.48725,                 1.1964,                0.61462,                 1.1563,               0.002674,               0.002674,               0.002674
                    150,                 1.0851,                0.58966,                 1.1249,                0.89269,                0.73896,                0.82475,                0.48234,                 1.1793,                0.62237,                 1.1545,              0.0026245,              0.0026245,              0.0026245
